path_class,startpoint_class,endpoint_class,logic_depth_estimate,fanout_risk,width_dependency,memory_dependency,cdc_dependency,existing_pipeline,likely_frequency_limiter,evidence,recommended_measurement,do_not_preoptimize,classification
RX admission,parser or match stage,admission decision and queue reserve,high,high,low,channel tables and occupancy,no,multi-stage match and admission,yes,registered stages visible in frame_dma_rx_top,DC top20 by stage and fanout report,yes,ANALYSIS
Ingress payload address,read address register,payload SRAM address pin,low,medium,low,high,no,registered address,yes,branch FPGA worst path after AW fix,post-macro pin timing and placement distance,yes,VERIFIED_REPOSITORY_FACT
Shared pool allocation,free-list pointer,allocation and write command,medium,medium,low,free-list and next arrays,no,optional serial ingress,possible,round-robin and allocation exclusion logic,DC path group and combinational depth,yes,ANALYSIS
Shared pool release,next pointer read,release state and free FIFO write,medium,medium,low,linked-list arrays,no,release FSM,possible,linked-list traversal in dma_frame_shared_pool,DC timing plus collision assertions,yes,ANALYSIS
Ring and CQ admission,channel table and CQ counters,final accept or reject,high,high,low,register tables,no,several admission stages,yes,combined resource predicates in top,stage-by-stage timing and fanout,yes,ANALYSIS
Async64 AW planning,issue counters,AW candidate registers,medium,medium,low,no,no,registered candidate added,not expected global limiter,2a3faf3 and branch timing evidence,confirm ASIC top paths only,no,VERIFIED_REPOSITORY_FACT
Async512 AW planning,issue counters,AW outputs and plan queue,medium,medium,medium,no,no,accepted-plan queue,possible,dma_axi_write_engine_512 static structure,DC top20 and source-credit variants,yes,ANALYSIS
512-bit SRAM data,macro output,writer W data register,low,low,high,high,no,synchronous RAM plus response FIFO,yes,physical distance and bank mux dominate,post-placement path and congestion heatmap,yes,ANALYSIS
AXI write arbitration,source grant and response ownership,shared AXI AW W B mux,medium,high,low,no,no,frame-locked arbiter,possible,dma_rx_write_arbiter hierarchy,DC fanout and route timing,yes,ANALYSIS
TX descriptor scheduler,channel request and status,descriptor fetch launch,high,high,low,channel tables,no,registered context states,yes,scan loops and flattened tables in dma_tx_engine,DC path by scheduler state,yes,ANALYSIS
TX AR prefetch,issue address and reserved beats,AR outputs and FIFO reservation,medium,medium,low,prefetch FIFO,no,registered AR plan,possible,dma_axi_read_prefetch structure,DC top20 and backpressure mode,yes,ANALYSIS
AXI-Lite readback,region decode and table mirror,RDATA register,high,high,low,status tables,no,registered read pipeline,possible,large flattened read space,DC mux depth and fanout,yes,ANALYSIS
CDC full empty,Gray pointer synchronizer,ready valid and level,medium,medium,low,dual-clock FIFO,yes,two-stage sync and pointer arithmetic,possible,dma_async_fifo structure,CDC report plus per-clock timing and bus skew,yes,ANALYSIS
CQ owner-last,CQE body completion,owner write command,medium,medium,low,CQE staging,no,explicit body then owner FSM,correctness critical,dma_cq_writer contract,endpoint timing and formal sequence check,yes,VERIFIED_REPOSITORY_FACT
Soft reset distribution,AXI-Lite reset request,multiple state enable or reset pins,low,high,low,no,yes for async ack,quiesce and local reset stages,possible,existing FPGA same-clock critical path involved soft-reset distribution,fanout report and physical replication review,yes,VERIFIED_REPOSITORY_FACT

